combination,node,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
SUS,N1,0.000,0.000,692.928,0.000,-577.440,0.000
SUS,N2,0.000,0.000,692.928,0.000,577.440,0.000
